3373,snow storm,7
3568,lone wolf,7
1375,submachine gun,7
791,mentally disabled,7
156174,occult,7
1797,loyalty,7
11219,navy seal,7
4106,apartheid,7
3541,afghanistan,7
1483,sports team,7
3489,job interview,7
637,pop,7
9824,reunion,7
155790,private detective,7
11314,f word,7
7984,bikini,7
4402,peasant,7
622,bet,7
815,soulmates,7
3762,darkness,7
155791,american football player,7
5034,attempt to escape,7
15479,fashion,7
3149,gangster boss,7
2801,self-defense,7
964,servant,7
10124,laboratory,7
3262,surgeon,7
6946,blonde,7
9890,jail,7
165301,opposites attract,7
40879,drunk,7
787,mississippi,7
5626,from rags to riches,7
1013,homophobia,7
178329,best friends in love,7
41329,mental illness,7
1279,medicine,7
11040,masked killer,7
10201,death of father,7
11336,young boy,7
178649,voyeurism,7
953,guitar,7
455,farewell,7
11469,memory loss,7
18396,catholic,7
225209,dreams,7
210024,anime,7
156777,teenage sexuality,7
6562,celebrity,7
158558,disabled,7
9853,paranormal,7
2920,cheerleader,7
15402,popularity,7
4328,costume,7
1517,classroom,7
2337,pedophilia,7
11494,drug use,7
2201,first time,7
54169,stoner,7
15087,iraq war,7
5906,sex addiction,7
10333,stalking,7
189421,female corpse,7
154802,silent film,7
10199,gay interest,7
9866,basement,7
206850,canuxploitation,7
3388,space colony,6
3679,society,6
6211,fighter,6
3872,broom,6
6333,wizardry,6
1860,mutiny,6
5455,time machine,6
604,dwarves,6
171556,social outcast,6
4210,panic,6
1720,tyrannosaurus rex,6
15478,art gallery,6
5597,war on terror,6
6186,games,6
1670,sun,6
18330,nature,6
33965,christmas eve,6
5650,feral child,6
6187,fairy-tale figure,6
6163,arms dealer,6
34161,doomsday,6
7942,imaginary friend,6
15184,woman,6
3077,leader,6
14759,ape,6
1395,arena,6
192913,warrior,6
1381,sun glasses,6
189102,tunnel,6
2019,liberation of prisoners,6
6271,boarding school,6
188178,teenage hero,6
1200,greece,6
4238,chosen one,6
12380,tournament,6
1158,grandfather grandson relationship,6
3640,work,6
2552,chimp,6
162861,ancient greece,6
41410,madness,6
2382,flower,6
4277,to shoot dead,6
4697,video,6
18118,disguise,6
15101,based on children's book,6
199076,disaster movie,6
3760,light,6
3607,hold-up robbery,6
2568,language barrier,6
3074,insurgence,6
33564,u.s. soldier,6
3822,teleportation,6
10590,oil,6
1310,mentor,6
2752,ranch,6
10506,prehistoric,6
183414,prehistoric times,6
5744,governor,6
15219,rooftop,6
514,spain,6
160840,dream sequence,6
1399,senate,6
4270,galaxy,6
4305,radio transmission,6
4405,marine corps,6
3623,cabin,6
6281,partnership,6
9639,playboy,6
5543,cow,6
3010,intolerance,6
3543,transport of prisoners,6
11628,cloning,6
1405,roman empire,6
11857,mental institution,6
11734,police corruption,6
15167,police detective,6
5569,vomit,6
33780,dentist,6
206687,chases and races,6
8778,atheist,6
5420,fisherman,6
170652,father figure,6
2902,space battle,6
3905,owl,6
11107,rescue mission,6
6220,mafia boss,6
1524,surfer,6
5614,idol,6
6085,election campaign,6
3352,tree,6
14724,family vacation,6
160130,invisible man,6
15155,witness to murder,6
5571,great depression,6
6737,frankenstein,6
3398,release from prison,6
5424,women's prison,6
414,hunter,6
2013,attempted murder,6
10125,mad scientist,6
802,regret,6
6170,motherly love,6
4399,victim,6
3268,secret base,6
4245,hijacking,6
4142,insomnia,6
156121,ex-con,6
6154,hell,6
6009,mathematics,6
11687,breaking the fourth wall,6
4097,independence,6
2618,miracle,6
2411,new orleans,6
4746,record producer,6
5616,united states–mexico barrier,6
6069,class,6
4884,infection,6
5451,comic book,6
3487,assistant,6
188114,u.s. marine,6
3453,parents-in-law,6
1008,guerrilla,6
163656,gun violence,6
226177,xenomorph,6
11139,steel helmet,6
2348,hustler,6
5970,wrestling,6
158111,no opening credits,6
4924,insane asylum,6
9849,beating,6
14669,older man younger woman relationship,6
5707,childhood trauma,6
3321,childhood memory,6
9016,femme fatale,6
40847,near future,6
166625,candlelight vigil,6
6483,ice hockey,6
3278,kgb,6
2147,claustrophobia,6
8430,safe,6
2158,maze,6
11325,shot to death,6
680,montana,6
11627,paranormal phenomena,6
5514,conspiracy of murder,6
1336,ransom,6
12987,poverty,6
11333,cigar smoking,6
10877,dead body,6
2281,mistake in person,6
14794,lust,6
2956,vietnam,6
8070,stag night,6
1794,yakuza,6
15111,drinking,6
155291,cowboy,6
14805,maniac,6
3065,minister,6
12999,black and white,6
700,italo-american,6
11254,loss of virginity,6
155816,ex-wife,6
14602,break-up,6
14522,co-worker,6
162914,one night,6
9789,misfit,6
6139,innocence,6
5890,community,6
6019,human trafficking,6
6241,stupidity,6
1025,great britain,6
6782,addiction,6
10131,interracial relationship,6
14781,patient,6
33699,policeman,6
904,pennsylvania,6
7920,violence in schools,6
193547,teachers and students,6
4108,protest,6
1635,deaf-mute,6
10499,pool,6
3551,private school,6
10170,premonition,6
3436,karate,6
11454,scam,6
390,skateboarding,6
2642,solar eclipse,6
11363,arson,6
3584,bridesmaid,6
156455,unhappiness,6
207592,piano,6
13056,loss of wife,6
166287,school bus,6
4562,rapper,6
1004,commercial,6
9864,prank,6
2320,violent husband,6
159558,skiing,6
1679,arbitrary law,6
2470,education,6
487,cairo,6
11925,domestic violence,6
157632,fraternity,6
2885,prison cell,6
1224,radio station,6
170827,sex comedy,6
2300,despair,6
156195,family feud,6
437,painter,6
888,screenwriter,6
14737,economics,6
2375,junkie,6
11707,suitor,6
15237,alcohol abuse,6
14893,art,6
1900,immigration,6
1631,concentration camp,6
5956,stuntman,6
156478,boyfriend,6
18001,rock band,6
155881,estate,6
11011,morality,6
4552,beer,6
8224,cannabis,6
3183,bisexuality,6
188237,teenage romance,6
11112,search,6
207583,actress,6
9253,slapstick,6
3740,radio presenter,6
10073,documentary,6
195402,film noir,6
10987,cgi,5
206690,mind and soul,5
2660,strong woman,5
157186,swashbuckler,5
3051,hostage drama,5
10044,tragic hero,5
14796,destruction,5
1456,medallion,5
1965,sandstorm,5
3986,spider,5
155030,superhero team,5
3884,school of witchcraft,5
3714,human being,5
5539,shield,5
2569,prime minister,5
4235,duke,5
609,middle-earth (tolkien),5
611,hobbit,5
163561,genetic engineering,5
837,show business,5
163074,super villain,5
44451,lost,5
15252,magical object,5
6112,firearm,5
189099,giant,5
11100,giant monster,5
15248,commando,5
5566,maya civilization,5
12026,alternate history,5
189098,courage,5
1704,ambassador,5
8250,victorian england,5
9903,balloon,5
563,deja vu,5
169341,snow white,5
177895,dark fantasy,5
4090,colony,5
188959,plague,5
5895,viking,5
8044,flight,5
1963,expedition,5
4380,black hole,5
154846,farmer,5
156039,space station,5
189093,ring,5
3588,navy,5
4488,apprentice,5
2283,ball,5
4326,theatre play,5
5515,heir to the throne,5
6285,coup d'etat,5
3873,sorcerer's apprentice,5
5147,sorcery,5
996,expensive restaurant,5
18293,chef,5
2172,zoo,5
2725,sunlight,5
3222,super computer,5
11173,troll,5
9675,prequel,5
1201,austria,5
2778,florist,5
1445,ice,5
2770,war ship,5
1880,mobile phone,5
46958,good and bad,5
157303,first love,5
2428,deportation,5
7412,sin,5
10532,suburbia,5
2001,arms deal,5
488,moses,5
155212,vulcan,5
156282,alternate reality,5
41523,brooklyn new york city,5
12663,little girl,5
2522,grizzly bear,5
33637,superpower,5
1295,europe,5
3851,dangerous,5
529,ku klux klan,5
1941,ecstasy,5
4803,comet,5
178645,prehistoric adventure,5
3266,jamaica,5
33928,audition,5
1161,brazil,5
12414,escaped convict,5
33696,sea monster,5
3249,hologram,5
2213,tornado,5
168683,storm at sea,5
33456,double cross,5
18068,teenage boy,5
15285,spin off,5
18069,laser gun,5
225061,friend,5
191564,body horror,5
3521,earthquake,5
4653,french,5
9094,womanizer,5
190999,minions,5
33461,diamond,5
10568,science fiction,5
33553,walkie talkie,5
2407,fireworks,5
14989,religious,5
2620,evidence,5
690,gorilla,5
2430,hiding place,5
4009,witness protection,5
11207,u.s. marshal,5
202703,deadly,5
3998,palace,5
170682,lying,5
8685,anti-christ,5
3923,humor,5
4411,sexism,5
11738,evil corporation,5
995,cinderella,5
6381,loss of daughter,5
14576,pedophile,5
9812,honor,5
4392,cage,5
3776,officer,5
10112,ouija board,5
12361,hacking,5
536,israel,5
928,hairdresser,5
10706,spirituality,5
4005,human experimentation,5
15053,united nations,5
1952,socially deprived family,5
4487,boxing match,5
2355,american dream,5
